company_id,company_name,category,statement,confidence
ABB,Abbott India Ltd,Con,Low Composite Quality Score indicates weak overall fundamentals.,90
ABB,Abbott India Ltd,Pro,Healthy Net Profit Margin indicates strong profitability.,80
ABB,Abbott India Ltd,Pro,Strong Operating Profit Margin reflects operational efficiency.,70
ABB,Abbott India Ltd,Pro,Comfortable interest coverage reduces financial risk.,100
ABB,Abbott India Ltd,Pro,Positive Free Cash Flow supports future growth.,100
ABB,Abbott India Ltd,Pro,Debt levels remain under control.,60
ADANIENSOL,Adani Energy Solutions Ltd,Con,Low Return on Equity indicates weaker shareholder returns.,60
ADANIENSOL,Adani Energy Solutions Ltd,Con,Low ROCE suggests inefficient capital utilization.,60
ADANIENSOL,Adani Energy Solutions Ltd,Con,High Debt-to-Equity increases financial risk.,60
ADANIENSOL,Adani Energy Solutions Ltd,Con,Low Net Profit Margin indicates weak profitability.,60
ADANIENSOL,Adani Energy Solutions Ltd,Con,Low interest coverage may increase financial risk.,60
ADANIENSOL,Adani Energy Solutions Ltd,Con,Low Composite Quality Score indicates weak overall fundamentals.,100
ADANIENSOL,Adani Energy Solutions Ltd,Pro,Strong Operating Profit Margin reflects operational efficiency.,90
ADANIENSOL,Adani Energy Solutions Ltd,Pro,Positive Free Cash Flow supports future growth.,100
ADANIENT,Adani Enterprises Ltd,Con,Low Return on Equity indicates weaker shareholder returns.,60
ADANIENT,Adani Enterprises Ltd,Con,Low Net Profit Margin indicates weak profitability.,70
ADANIENT,Adani Enterprises Ltd,Con,Negative Free Cash Flow may impact future growth.,100
ADANIENT,Adani Enterprises Ltd,Con,Low Composite Quality Score indicates weak overall fundamentals.,100
ADANIGREEN,Adani Green Energy Ltd,Con,High Debt-to-Equity increases financial risk.,70
ADANIGREEN,Adani Green Energy Ltd,Con,Low interest coverage may increase financial risk.,60
ADANIGREEN,Adani Green Energy Ltd,Con,Negative Free Cash Flow may impact future growth.,100
ADANIGREEN,Adani Green Energy Ltd,Con,Low Composite Quality Score indicates weak overall fundamentals.,100
ADANIGREEN,Adani Green Energy Ltd,Con,Very high leverage increases long-term financial risk.,70
ADANIGREEN,Adani Green Energy Ltd,Pro,Strong Operating Profit Margin reflects operational efficiency.,100
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Con,Low Composite Quality Score indicates weak overall fundamentals.,100
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Pro,Healthy Net Profit Margin indicates strong profitability.,100
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Pro,Strong Operating Profit Margin reflects operational efficiency.,100
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Pro,Positive Free Cash Flow supports future growth.,100
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Pro,Debt levels remain under control.,60
ADANIPOWER,Adani Power Ltd,Pro,Healthy Net Profit Margin indicates strong profitability.,100
ADANIPOWER,Adani Power Ltd,Pro,Strong Operating Profit Margin reflects operational efficiency.,100
ADANIPOWER,Adani Power Ltd,Pro,Comfortable interest coverage reduces financial risk.,70
ADANIPOWER,Adani Power Ltd,Pro,Positive Free Cash Flow supports future growth.,100
ADANIPOWER,Adani Power Ltd,Pro,Debt levels remain under control.,60
AMBUJACEM,Ambuja Cements Ltd,Con,Negative Free Cash Flow may impact future growth.,100
AMBUJACEM,Ambuja Cements Ltd,Con,Low Composite Quality Score indicates weak overall fundamentals.,100
AMBUJACEM,Ambuja Cements Ltd,Pro,Comfortable interest coverage reduces financial risk.,100
AMBUJACEM,Ambuja Cements Ltd,Pro,Debt levels remain under control.,60
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Con,Low Net Profit Margin indicates weak profitability.,70
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Con,Low Composite Quality Score indicates weak overall fundamentals.,100
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Pro,Positive Free Cash Flow supports future growth.,100
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Pro,Debt levels remain under control.,60
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Con,Low Composite Quality Score indicates weak overall fundamentals.,100
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Pro,Healthy Net Profit Margin indicates strong profitability.,60
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Pro,Strong Operating Profit Margin reflects operational efficiency.,60
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Pro,Comfortable interest coverage reduces financial risk.,100
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Pro,Positive Free Cash Flow supports future growth.,100
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Pro,Debt levels remain under control.,60
DMART,Avenue Supermarts Ltd,Con,Low Net Profit Margin indicates weak profitability.,70
DMART,Avenue Supermarts Ltd,Con,Low Operating Profit Margin indicates poor operating efficiency.,60
DMART,Avenue Supermarts Ltd,Con,Low Composite Quality Score indicates weak overall fundamentals.,100
DMART,Avenue Supermarts Ltd,Pro,Comfortable interest coverage reduces financial risk.,100
DMART,Avenue Supermarts Ltd,Pro,Positive Free Cash Flow supports future growth.,100
DMART,Avenue Supermarts Ltd,Pro,Debt levels remain under control.,60
AXISBANK,Axis Bank Ltd,Con,Low ROCE suggests inefficient capital utilization.,70
AXISBANK,Axis Bank Ltd,Con,High Debt-to-Equity increases financial risk.,80
AXISBANK,Axis Bank Ltd,Con,Negative Free Cash Flow may impact future growth.,100
AXISBANK,Axis Bank Ltd,Con,Low Composite Quality Score indicates weak overall fundamentals.,100
AXISBANK,Axis Bank Ltd,Con,Very high leverage increases long-term financial risk.,80
AXISBANK,Axis Bank Ltd,Pro,Healthy Net Profit Margin indicates strong profitability.,80
AXISBANK,Axis Bank Ltd,Pro,Strong Operating Profit Margin reflects operational efficiency.,90
BAJAJ-AUTO,Bajaj Auto Ltd,Con,Low Composite Quality Score indicates weak overall fundamentals.,100
BAJAJ-AUTO,Bajaj Auto Ltd,Pro,Healthy Net Profit Margin indicates strong profitability.,70
BAJAJ-AUTO,Bajaj Auto Ltd,Pro,Comfortable interest coverage reduces financial risk.,100
BAJAJ-AUTO,Bajaj Auto Ltd,Pro,Positive Free Cash Flow supports future growth.,100
BAJAJ-AUTO,Bajaj Auto Ltd,Pro,Debt levels remain under control.,60
BAJFINANCE,Bajaj Finance Ltd,Con,High Debt-to-Equity increases financial risk.,60
BAJFINANCE,Bajaj Finance Ltd,Con,Negative Free Cash Flow may impact future growth.,100
BAJFINANCE,Bajaj Finance Ltd,Con,Low Composite Quality Score indicates weak overall fundamentals.,100
BAJFINANCE,Bajaj Finance Ltd,Con,Very high leverage increases long-term financial risk.,60
BAJFINANCE,Bajaj Finance Ltd,Pro,Healthy Net Profit Margin indicates strong profitability.,90
BAJFINANCE,Bajaj Finance Ltd,Pro,Strong Operating Profit Margin reflects operational efficiency.,80
BAJFINANCE,Bajaj Finance Ltd,Pro,Comfortable interest coverage reduces financial risk.,100
BAJAJFINSV,Bajaj Finserv Ltd,Con,High Debt-to-Equity increases financial risk.,70
BAJAJFINSV,Bajaj Finserv Ltd,Con,Negative Free Cash Flow may impact future growth.,100
BAJAJFINSV,Bajaj Finserv Ltd,Con,Low Composite Quality Score indicates weak overall fundamentals.,100
BAJAJFINSV,Bajaj Finserv Ltd,Con,Very high leverage increases long-term financial risk.,60
BAJAJFINSV,Bajaj Finserv Ltd,Pro,Strong Operating Profit Margin reflects operational efficiency.,100
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Pro,Healthy Net Profit Margin indicates strong profitability.,100
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Pro,Strong Operating Profit Margin reflects operational efficiency.,100
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Pro,Comfortable interest coverage reduces financial risk.,100
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Pro,Positive Free Cash Flow supports future growth.,100
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Pro,Debt levels remain under control.,60
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Pro,High Composite Quality Score indicates strong overall fundamentals.,100
BANKBARODA,Bank of Baroda,Con,Low ROCE suggests inefficient capital utilization.,70
BANKBARODA,Bank of Baroda,Con,High Debt-to-Equity increases financial risk.,90
BANKBARODA,Bank of Baroda,Con,Negative Free Cash Flow may impact future growth.,100
BANKBARODA,Bank of Baroda,Con,Low Composite Quality Score indicates weak overall fundamentals.,100
BANKBARODA,Bank of Baroda,Con,Very high leverage increases long-term financial risk.,80
BANKBARODA,Bank of Baroda,Pro,Healthy Net Profit Margin indicates strong profitability.,60
BANKBARODA,Bank of Baroda,Pro,Strong Operating Profit Margin reflects operational efficiency.,100
BEL,Bharat Electronics Ltd,Con,Negative Free Cash Flow may impact future growth.,100
BEL,Bharat Electronics Ltd,Pro,Healthy Net Profit Margin indicates strong profitability.,70
BEL,Bharat Electronics Ltd,Pro,Strong Operating Profit Margin reflects operational efficiency.,70
BEL,Bharat Electronics Ltd,Pro,Comfortable interest coverage reduces financial risk.,100
BEL,Bharat Electronics Ltd,Pro,Debt levels remain under control.,60
BEL,Bharat Electronics Ltd,Pro,High Composite Quality Score indicates strong overall fundamentals.,100
BHEL,"Bharat Heavy Electricals Limited
",Con,Low Return on Equity indicates weaker shareholder returns.,80
BHEL,"Bharat Heavy Electricals Limited
",Con,Low ROCE suggests inefficient capital utilization.,80
BHEL,"Bharat Heavy Electricals Limited
",Con,Low Net Profit Margin indicates weak profitability.,80
BHEL,"Bharat Heavy Electricals Limited
",Con,Low Operating Profit Margin indicates poor operating efficiency.,80
BHEL,"Bharat Heavy Electricals Limited
",Con,Low interest coverage may increase financial risk.,60
BHEL,"Bharat Heavy Electricals Limited
",Con,Negative Free Cash Flow may impact future growth.,100
BHEL,"Bharat Heavy Electricals Limited
",Con,Low Composite Quality Score indicates weak overall fundamentals.,100
BHEL,"Bharat Heavy Electricals Limited
",Pro,Debt levels remain under control.,60
BPCL,Bharat Petroleum Corporation Ltd,Con,Low Net Profit Margin indicates weak profitability.,70
BPCL,Bharat Petroleum Corporation Ltd,Con,Low Operating Profit Margin indicates poor operating efficiency.,60
BPCL,Bharat Petroleum Corporation Ltd,Con,Low Composite Quality Score indicates weak overall fundamentals.,100
BPCL,Bharat Petroleum Corporation Ltd,Pro,Comfortable interest coverage reduces financial risk.,70
BPCL,Bharat Petroleum Corporation Ltd,Pro,Positive Free Cash Flow supports future growth.,100
BPCL,Bharat Petroleum Corporation Ltd,Pro,Debt levels remain under control.,60
BHARTIARTL,Bharti Airtel Ltd,Con,High Debt-to-Equity increases financial risk.,60
BHARTIARTL,Bharti Airtel Ltd,Con,Low Net Profit Margin indicates weak profitability.,70
BHARTIARTL,Bharti Airtel Ltd,Con,Low interest coverage may increase financial risk.,60
BHARTIARTL,Bharti Airtel Ltd,Con,Low Composite Quality Score indicates weak overall fundamentals.,100
BHARTIARTL,Bharti Airtel Ltd,Pro,Strong Operating Profit Margin reflects operational efficiency.,100
BHARTIARTL,Bharti Airtel Ltd,Pro,Positive Free Cash Flow supports future growth.,100
BOSCHLTD,Bosch Ltd,Con,Low Composite Quality Score indicates weak overall fundamentals.,100
BOSCHLTD,Bosch Ltd,Pro,Comfortable interest coverage reduces financial risk.,100
BOSCHLTD,Bosch Ltd,Pro,Positive Free Cash Flow supports future growth.,100
BOSCHLTD,Bosch Ltd,Pro,Debt levels remain under control.,60
BRITANNIA,Britannia Industries Ltd,Con,Low Composite Quality Score indicates weak overall fundamentals.,80
BRITANNIA,Britannia Industries Ltd,Pro,Comfortable interest coverage reduces financial risk.,90
BRITANNIA,Britannia Industries Ltd,Pro,Positive Free Cash Flow supports future growth.,100
BRITANNIA,Britannia Industries Ltd,Pro,Debt levels remain under control.,60
CANBK,Canara Bank,Con,Low ROCE suggests inefficient capital utilization.,70
CANBK,Canara Bank,Con,High Debt-to-Equity increases financial risk.,90
CANBK,Canara Bank,Con,Low interest coverage may increase financial risk.,60
CANBK,Canara Bank,Con,Low Composite Quality Score indicates weak overall fundamentals.,100
CANBK,Canara Bank,Con,Very high leverage increases long-term financial risk.,90
CANBK,Canara Bank,Pro,Strong Operating Profit Margin reflects operational efficiency.,100
CANBK,Canara Bank,Pro,Positive Free Cash Flow supports future growth.,100
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Con,High Debt-to-Equity increases financial risk.,70
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Con,Negative Free Cash Flow may impact future growth.,100
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Con,Low Composite Quality Score indicates weak overall fundamentals.,100
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Con,Very high leverage increases long-term financial risk.,70
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Pro,Healthy Net Profit Margin indicates strong profitability.,70
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Pro,Strong Operating Profit Margin reflects operational efficiency.,80
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Pro,Comfortable interest coverage reduces financial risk.,90
CIPLA,"Cipla Ltd
",Con,Low Composite Quality Score indicates weak overall fundamentals.,100
CIPLA,"Cipla Ltd
",Pro,Healthy Net Profit Margin indicates strong profitability.,60
CIPLA,"Cipla Ltd
",Pro,Strong Operating Profit Margin reflects operational efficiency.,100
CIPLA,"Cipla Ltd
",Pro,Comfortable interest coverage reduces financial risk.,80
CIPLA,"Cipla Ltd
",Pro,Positive Free Cash Flow supports future growth.,100
CIPLA,"Cipla Ltd
",Pro,Debt levels remain under control.,60
COALINDIA,Coal India Ltd,Con,Low Composite Quality Score indicates weak overall fundamentals.,70
COALINDIA,Coal India Ltd,Pro,Healthy Net Profit Margin indicates strong profitability.,90
COALINDIA,Coal India Ltd,Pro,Strong Operating Profit Margin reflects operational efficiency.,100
COALINDIA,Coal India Ltd,Pro,Comfortable interest coverage reduces financial risk.,60
COALINDIA,Coal India Ltd,Pro,Positive Free Cash Flow supports future growth.,100
COALINDIA,Coal India Ltd,Pro,Debt levels remain under control.,60
DLF,DLF Ltd,Con,Low Return on Equity indicates weaker shareholder returns.,70
DLF,DLF Ltd,Con,Low ROCE suggests inefficient capital utilization.,70
DLF,DLF Ltd,Con,Low Composite Quality Score indicates weak overall fundamentals.,100
DLF,DLF Ltd,Pro,Healthy Net Profit Margin indicates strong profitability.,100
DLF,DLF Ltd,Pro,Strong Operating Profit Margin reflects operational efficiency.,90
DLF,DLF Ltd,Pro,Comfortable interest coverage reduces financial risk.,70
DLF,DLF Ltd,Pro,Positive Free Cash Flow supports future growth.,100
DLF,DLF Ltd,Pro,Debt levels remain under control.,60
DABUR,Dabur India Ltd,Con,Low Composite Quality Score indicates weak overall fundamentals.,100
DABUR,Dabur India Ltd,Pro,Comfortable interest coverage reduces financial risk.,100
DABUR,Dabur India Ltd,Pro,Positive Free Cash Flow supports future growth.,100
DABUR,Dabur India Ltd,Pro,Debt levels remain under control.,60
DIVISLAB,Divis Laboratories Ltd,Con,Low Composite Quality Score indicates weak overall fundamentals.,100
DIVISLAB,Divis Laboratories Ltd,Pro,Healthy Net Profit Margin indicates strong profitability.,80
DIVISLAB,Divis Laboratories Ltd,Pro,Strong Operating Profit Margin reflects operational efficiency.,80
DIVISLAB,Divis Laboratories Ltd,Pro,Comfortable interest coverage reduces financial risk.,100
DIVISLAB,Divis Laboratories Ltd,Pro,Positive Free Cash Flow supports future growth.,100
DIVISLAB,Divis Laboratories Ltd,Pro,Debt levels remain under control.,60
DRREDDY,Dr Reddys Laboratories Ltd,Con,Low Composite Quality Score indicates weak overall fundamentals.,100
DRREDDY,Dr Reddys Laboratories Ltd,Pro,Healthy Net Profit Margin indicates strong profitability.,70
DRREDDY,Dr Reddys Laboratories Ltd,Pro,Strong Operating Profit Margin reflects operational efficiency.,80
DRREDDY,Dr Reddys Laboratories Ltd,Pro,Comfortable interest coverage reduces financial risk.,100
DRREDDY,Dr Reddys Laboratories Ltd,Pro,Positive Free Cash Flow supports future growth.,100
DRREDDY,Dr Reddys Laboratories Ltd,Pro,Debt levels remain under control.,60
EICHERMOT,Eicher Motors Ltd,Con,Low Composite Quality Score indicates weak overall fundamentals.,100
EICHERMOT,Eicher Motors Ltd,Pro,Healthy Net Profit Margin indicates strong profitability.,80
EICHERMOT,Eicher Motors Ltd,Pro,Strong Operating Profit Margin reflects operational efficiency.,80
EICHERMOT,Eicher Motors Ltd,Pro,Comfortable interest coverage reduces financial risk.,100
EICHERMOT,Eicher Motors Ltd,Pro,Positive Free Cash Flow supports future growth.,100
EICHERMOT,Eicher Motors Ltd,Pro,Debt levels remain under control.,60
GAIL,GAIL (India) Ltd,Con,Low Net Profit Margin indicates weak profitability.,60
GAIL,GAIL (India) Ltd,Con,Low Composite Quality Score indicates weak overall fundamentals.,100
GAIL,GAIL (India) Ltd,Pro,Comfortable interest coverage reduces financial risk.,90
GAIL,GAIL (India) Ltd,Pro,Positive Free Cash Flow supports future growth.,100
GAIL,GAIL (India) Ltd,Pro,Debt levels remain under control.,60
GODREJCP,Godrej Consumer Products Ltd,Con,Low Return on Equity indicates weaker shareholder returns.,90
GODREJCP,Godrej Consumer Products Ltd,Con,Low Net Profit Margin indicates weak profitability.,90
GODREJCP,Godrej Consumer Products Ltd,Con,Low interest coverage may increase financial risk.,60
GODREJCP,Godrej Consumer Products Ltd,Con,Negative Free Cash Flow may impact future growth.,100
GODREJCP,Godrej Consumer Products Ltd,Con,Low Composite Quality Score indicates weak overall fundamentals.,100
GODREJCP,Godrej Consumer Products Ltd,Pro,Strong Operating Profit Margin reflects operational efficiency.,60
GODREJCP,Godrej Consumer Products Ltd,Pro,Debt levels remain under control.,60
GRASIM,Grasim Industries Ltd,Con,Low ROCE suggests inefficient capital utilization.,60
GRASIM,Grasim Industries Ltd,Con,Low Net Profit Margin indicates weak profitability.,60
GRASIM,Grasim Industries Ltd,Con,Negative Free Cash Flow may impact future growth.,100
GRASIM,Grasim Industries Ltd,Con,Low Composite Quality Score indicates weak overall fundamentals.,100
GRASIM,Grasim Industries Ltd,Pro,Strong Operating Profit Margin reflects operational efficiency.,60
HCLTECH,HCL Technologies Ltd,Con,Low Composite Quality Score indicates weak overall fundamentals.,100
HCLTECH,HCL Technologies Ltd,Pro,Strong Operating Profit Margin reflects operational efficiency.,70
HCLTECH,HCL Technologies Ltd,Pro,Comfortable interest coverage reduces financial risk.,100
HCLTECH,HCL Technologies Ltd,Pro,Positive Free Cash Flow supports future growth.,100
HCLTECH,HCL Technologies Ltd,Pro,Debt levels remain under control.,60
HDFCBANK,HDFC Bank Ltd,Con,Low ROCE suggests inefficient capital utilization.,70
HDFCBANK,HDFC Bank Ltd,Con,High Debt-to-Equity increases financial risk.,70
HDFCBANK,HDFC Bank Ltd,Con,Low interest coverage may increase financial risk.,60
HDFCBANK,HDFC Bank Ltd,Con,Low Composite Quality Score indicates weak overall fundamentals.,100
HDFCBANK,HDFC Bank Ltd,Con,Very high leverage increases long-term financial risk.,70
HDFCBANK,HDFC Bank Ltd,Pro,Healthy Net Profit Margin indicates strong profitability.,80
HDFCBANK,HDFC Bank Ltd,Pro,Strong Operating Profit Margin reflects operational efficiency.,100
HDFCBANK,HDFC Bank Ltd,Pro,Positive Free Cash Flow supports future growth.,100
HDFCLIFE,HDFC Life Insurance Company Ltd,Con,Low ROCE suggests inefficient capital utilization.,70
HDFCLIFE,HDFC Life Insurance Company Ltd,Con,Low Net Profit Margin indicates weak profitability.,80
HDFCLIFE,HDFC Life Insurance Company Ltd,Con,Negative Free Cash Flow may impact future growth.,100
HDFCLIFE,HDFC Life Insurance Company Ltd,Con,Low Composite Quality Score indicates weak overall fundamentals.,100
HDFCLIFE,HDFC Life Insurance Company Ltd,Pro,Strong Operating Profit Margin reflects operational efficiency.,100
HDFCLIFE,HDFC Life Insurance Company Ltd,Pro,Debt levels remain under control.,60
HAVELLS,Havells India Ltd,Con,Low Net Profit Margin indicates weak profitability.,60
HAVELLS,Havells India Ltd,Con,Low Composite Quality Score indicates weak overall fundamentals.,100
HAVELLS,Havells India Ltd,Pro,Comfortable interest coverage reduces financial risk.,100
HAVELLS,Havells India Ltd,Pro,Positive Free Cash Flow supports future growth.,100
HAVELLS,Havells India Ltd,Pro,Debt levels remain under control.,60
HEROMOTOCO,"Hero MotoCorp Ltd
",Con,Low Composite Quality Score indicates weak overall fundamentals.,100
HEROMOTOCO,"Hero MotoCorp Ltd
",Pro,Strong Operating Profit Margin reflects operational efficiency.,100
HEROMOTOCO,"Hero MotoCorp Ltd
",Pro,Comfortable interest coverage reduces financial risk.,70
HEROMOTOCO,"Hero MotoCorp Ltd
",Pro,Positive Free Cash Flow supports future growth.,100
HEROMOTOCO,"Hero MotoCorp Ltd
",Pro,Debt levels remain under control.,60
HINDALCO,Hindalco Industries Ltd,Con,Low Return on Equity indicates weaker shareholder returns.,60
HINDALCO,Hindalco Industries Ltd,Con,Low Net Profit Margin indicates weak profitability.,70
HINDALCO,Hindalco Industries Ltd,Con,Low Composite Quality Score indicates weak overall fundamentals.,100
HINDALCO,Hindalco Industries Ltd,Pro,Strong Operating Profit Margin reflects operational efficiency.,100
HINDALCO,Hindalco Industries Ltd,Pro,Comfortable interest coverage reduces financial risk.,80
HINDALCO,Hindalco Industries Ltd,Pro,Positive Free Cash Flow supports future growth.,100
HINDALCO,Hindalco Industries Ltd,Pro,Debt levels remain under control.,60
HAL,Hindustan Aeronautics Ltd,Pro,Healthy Net Profit Margin indicates strong profitability.,80
HAL,Hindustan Aeronautics Ltd,Pro,Strong Operating Profit Margin reflects operational efficiency.,90
HAL,Hindustan Aeronautics Ltd,Pro,Comfortable interest coverage reduces financial risk.,100
HAL,Hindustan Aeronautics Ltd,Pro,Positive Free Cash Flow supports future growth.,100
HAL,Hindustan Aeronautics Ltd,Pro,Debt levels remain under control.,60
HAL,Hindustan Aeronautics Ltd,Pro,High Composite Quality Score indicates strong overall fundamentals.,100
HINDUNILVR,"Hindustan Unilever Ltd
",Con,Low Composite Quality Score indicates weak overall fundamentals.,100
HINDUNILVR,"Hindustan Unilever Ltd
",Pro,Healthy Net Profit Margin indicates strong profitability.,60
HINDUNILVR,"Hindustan Unilever Ltd
",Pro,Strong Operating Profit Margin reflects operational efficiency.,100
HINDUNILVR,"Hindustan Unilever Ltd
",Pro,Comfortable interest coverage reduces financial risk.,90
HINDUNILVR,"Hindustan Unilever Ltd
",Pro,Positive Free Cash Flow supports future growth.,100
HINDUNILVR,"Hindustan Unilever Ltd
",Pro,Debt levels remain under control.,60
ICICIBANK,ICICI Bank Ltd,Con,Low ROCE suggests inefficient capital utilization.,70
ICICIBANK,ICICI Bank Ltd,Con,High Debt-to-Equity increases financial risk.,70
ICICIBANK,ICICI Bank Ltd,Con,Low interest coverage may increase financial risk.,60
ICICIBANK,ICICI Bank Ltd,Con,Low Composite Quality Score indicates weak overall fundamentals.,100
ICICIBANK,ICICI Bank Ltd,Con,Very high leverage increases long-term financial risk.,70
ICICIBANK,ICICI Bank Ltd,Pro,Healthy Net Profit Margin indicates strong profitability.,90
ICICIBANK,ICICI Bank Ltd,Pro,Strong Operating Profit Margin reflects operational efficiency.,100
ICICIBANK,ICICI Bank Ltd,Pro,Positive Free Cash Flow supports future growth.,100
ICICIGI,ICICI Lombard General Insurance Company Ltd,Con,Low Composite Quality Score indicates weak overall fundamentals.,100
ICICIGI,ICICI Lombard General Insurance Company Ltd,Pro,Strong Operating Profit Margin reflects operational efficiency.,100
ICICIGI,ICICI Lombard General Insurance Company Ltd,Pro,Comfortable interest coverage reduces financial risk.,100
ICICIGI,ICICI Lombard General Insurance Company Ltd,Pro,Positive Free Cash Flow supports future growth.,100
ICICIGI,ICICI Lombard General Insurance Company Ltd,Pro,Debt levels remain under control.,60
