company_id,company_name,sector,P/E,P/B,EV/EBITDA,FCF_yield_pct,5yr_median_PE,PE_vs_sector_median_pct,flag
BHEL,"Bharat Heavy Electricals Limited
",Industrials,29.8,11.43,21.59,-0.4410671269170658,47.155,-36.804156505142615,Discount
HDFCLIFE,HDFC Life Insurance Company Ltd,Financials,50.59,11.28,31.63,-6.151706657367163,33.57,50.700029788501645,Caution
BOSCHLTD,Bosch Ltd,Consumer Discretionary,58.43,6.47,16.07,0.05908701218425355,38.005,53.7429285620313,Caution
GRASIM,Grasim Industries Ltd,Industrials,79.35,5.68,15.23,-7.063967310949983,47.155,68.27483829922593,Caution
BPCL,Bharat Petroleum Corporation Ltd,Energy,68.15,0.72,26.59,5.422883218663305,44.57,52.90554184428989,Caution
HINDUNILVR,"Hindustan Unilever Ltd
",Consumer Staples,34.51,11.88,7.52,1.8482736240750641,50.95,-32.26692836113838,Discount
SHRIRAMFIN,"Shriram Finance Ltd
",Financials,68.53,7.91,28.82,-3.608906905151208,33.57,104.1406017277331,Caution
SHREECEM,Shree Cement Ltd,Materials,25.87,1.21,26.58,0.06115348347250073,55.62,-53.487953973390866,Discount
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Financials,16.79,10.36,13.52,-3.9650923712808046,33.57,-49.98510574918082,Discount
JSWENERGY,JSW Energy Ltd,Energy,24.79,9.88,35.95,-1.7705336124937798,44.57,-44.37962755216513,Discount
INFY,Infosys Ltd,Information Technology,35.99,8.97,36.7,1.808627454139422,63.63,-43.43862957724344,Discount
TATAPOWER,"Tata Power Company Ltd
",Energy,14.5,3.48,12.02,0.2166615750083587,44.57,-67.46690599057662,Discount
TATAMOTORS,Tata Motors Ltd,Consumer Discretionary,67.07,0.93,15.35,3.000651602734764,38.005,76.47677937113535,Caution
INDUSINDBK,IndusInd Bank Ltd,Financials,8.99,3.7,28.79,-0.9664534641259643,33.57,-73.22013702710754,Discount
BAJFINANCE,Bajaj Finance Ltd,Financials,69.2,4.11,15.96,-3.2317922805711454,33.57,106.13643133750372,Caution
MOTHERSON,Samvardhana Motherson International Ltd,Consumer Discretionary,9.54,2.38,33.39,0.6329063689949501,38.005,-74.89803973161426,Discount
MARUTI,Maruti Suzuki India Ltd,Consumer Discretionary,20.78,8.26,29.97,0.3282212496887102,38.005,-45.3229838179187,Discount
PNB,Punjab National Bank,Financials,19.29,10.91,23.64,-1.6126067787208855,33.57,-42.53798033958892,Discount
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,Financials,20.83,12.38,22.57,0.006574879059013327,33.57,-37.95055108728032,Discount
IOC,"Indian Oil Corporation
",Energy,28.61,4.24,33.71,2.794810104975634,44.57,-35.808840026923946,Discount
BEL,Bharat Electronics Ltd,Industrials,17.89,9.22,23.14,-0.09337302073000636,47.155,-62.06128724419467,Discount
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,Consumer Discretionary,60.44,5.74,32.47,0.05299874823631171,38.005,59.03170635442703,Caution
ONGC,Oil & Natural Gas Corpn Ltd,Energy,18.15,10.36,11.72,10.781545408672736,44.57,-59.277540946825226,Discount
COALINDIA,Coal India Ltd,Materials,34.27,14.75,25.15,2.9991751112119767,55.62,-38.38547285149226,Discount
IRFC,Indian Railway Finance Corporation Ltd,Financials,9.81,3.91,16.66,0.3019460457018293,33.57,-70.77747989276139,Discount
BAJAJFINSV,Bajaj Finserv Ltd,Financials,15.07,6.08,39.72,-4.180016339930263,33.57,-55.10872803098004,Discount
BANKBARODA,Bank of Baroda,Financials,16.89,4.15,24.7,-1.279081332956056,33.57,-49.68722073279714,Discount
HAL,Hindustan Aeronautics Ltd,Industrials,71.89,3.65,8.76,0.06861811283803056,47.155,52.454670766620715,Caution
SBILIFE,SBI Life Insurance Company Ltd,Financials,69.98,9.48,31.04,-0.23688132542403253,33.57,108.4599344652964,Caution
LT,Larsen & Toubro Ltd,Industrials,30.8,2.48,16.63,1.8179837675257147,47.155,-34.68349061605344,Discount
NAUKRI,Info Edge (India) Ltd,Communication Services,32.88,8.33,11.87,-0.026604025891463663,48.33,-31.967721911855985,Discount
NHPC,"NHPC Ltd
",Energy,71.17,13.74,18.26,0.05573417784977254,44.57,59.681400044873236,Caution
NTPC,NTPC Ltd,Energy,30.8,5.24,37.12,0.9521678733206076,44.57,-30.895221000673097,Discount
TITAN,"Titan Company Ltd
",Consumer Discretionary,10.13,10.51,21.0,0.0839572651499547,38.005,-73.34561241941849,Discount
TRENT,Trent Ltd,Consumer Discretionary,8.65,11.82,34.65,0.14720244295143942,38.005,-77.23983686357059,Discount
M&M,"Mahindra & Mahindra Ltd
",Consumer Discretionary,14.22,0.81,29.08,-0.2694648852484086,38.005,-62.58387054334956,Discount
GAIL,GAIL (India) Ltd,Energy,25.84,9.54,33.07,0.28461990353382827,44.57,-42.02378281355172,Discount
EICHERMOT,Eicher Motors Ltd,Consumer Discretionary,15.62,13.61,19.29,0.4001945575069012,38.005,-58.900144717800295,Discount
DRREDDY,Dr Reddys Laboratories Ltd,Healthcare,11.73,10.19,14.56,0.020845250072724943,47.06,-75.07437314067148,Discount
DMART,Avenue Supermarts Ltd,Consumer Discretionary,72.53,11.71,36.84,0.00910553222430331,38.005,90.84331009077752,Caution
PIDILITIND,Pidilite Industries Ltd,Materials,36.12,12.3,5.36,0.588510137595519,55.62,-35.059331175836036,Discount
GODREJCP,Godrej Consumer Products Ltd,Consumer Staples,33.59,8.07,23.55,-0.10280184353453976,50.95,-34.072620215897935,Discount
ABB,Abbott India Ltd,Industrials,75.58,4.48,12.63,0.051880041574855706,47.155,60.27992789735976,Caution
INDIGO,Interglobe Aviation Ltd,Consumer Discretionary,76.23,7.87,24.64,0.9056027172386589,38.005,100.57887120115774,Caution
